17	1118	1119	1120	1121	1122	1123	1124	1125	1126	1127	1128	1129	1130	1335
159	160	161	162											
160	159	161	162											
166	167	168	169	170										
167	166	168	170											
168	166	167	170											
169	166													
170	166	167	168											
178	179	180												
179	178	180												
180	178	179												
1118	17													
1119	17	1120	1121	1125										
1120	17	1119	1121	1125										
1121	17	1119	1120	1125										
1122	17	1123	1125											
1123	17	1122	1125											
1124	17	128												
1125	17	1119	1120	1121	1122	1123								
1126	17	129												
1127	17	125												
1128	17	1122	1123	1125										
1129	17	126												
1130	17													
1335	17													
1149	1151	1150	1152											
1150	1149	1151	1152											
1151	1149	1150	1152											
1152	1149	1150	1151											
